,ATAŞEHİR  BELEDİYESİ,FATİN RÜŞTÜ ZORLU CADDESİ,ATAŞEHİR PLAZALAR,10. SOKAK,ESATPAŞA MAHALLESİ,KELKİT SOKAK,ÜSKÜDAR CADDESİ,FATİH CADDESİ,HABİRE YAHŞİ ANADOLU LİSESİ,FETİH MAHALLESİ MUHTARLIĞI,49.SOKAK,ALİ FUAT CEBESOY İLKOKULU,MESKENLER,RABİA LEMAN İMAM HATİP ORTAOKULU,GÖZTEPE KÖPRÜSÜ,AKYAZI CADDESİ,LİBADİYE CADDESİ,İÇERENKÖY DÖRTYOL,HZ.HÜSEYİN CAMİİ,ADALET SİTESİ
ATAŞEHİR  BELEDİYESİ,0.0,2.6694,2.3959,7.1446000000000005,2.208,1.0905,7.3153999999999995,8.0147,2.3208,4.101,9.485899999999999,2.146,4.0725999999999996,2.0766,4.9645,6.4208,3.5294,4.9862,1.8215999999999999,1.0992
FATİN RÜŞTÜ ZORLU CADDESİ,2.7564,0.0,4.8274,8.812100000000001,0.992,1.6057000000000001,8.982899999999999,9.6821,3.7508000000000004,1.9273,11.1534,1.7499,5.5026,3.5067,3.8036,8.0883,3.9476999999999998,6.416300000000001,1.2449000000000001,2.5581
ATAŞEHİR PLAZALAR,2.0979,4.538600000000001,0.0,5.3448,4.0771999999999995,2.9596999999999998,5.5156,6.2148,3.3839,5.9703,7.686100000000001,4.0153,3.8123,3.1397,6.833699999999999,3.8756999999999997,5.3987,4.8057,3.6908000000000003,2.4194
10. SOKAK,7.712899999999999,10.0016,5.0947,0.0,9.5401,8.422600000000001,1.1467,0.87,9.2436,10.906,1.8472,9.478200000000001,5.8267,8.9994,12.3429,4.3066,10.8847,6.8201,9.1537,8.554
ESATPAŞA MAHALLESİ,2.0264,0.992,4.1911000000000005,8.8446,0.0,1.3014000000000001,9.048399999999999,9.7147,3.0988,2.6126,11.0251,0.6576000000000001,4.8506,2.8547,3.476,7.0854,3.6201999999999996,5.7643,0.7735,1.9061
KELKİT SOKAK,1.1077000000000001,1.7315,3.2724,7.9258999999999995,1.2701,0.0,8.1297,8.796,2.1801,3.1631,10.106399999999999,1.2081,3.9319,1.936,4.0266,6.1667,2.5915,4.8456,0.8837,0.9875
ÜSKÜDAR CADDESİ,7.8534,10.142100000000001,6.4546,1.1164,9.6806,8.5631,0.0,1.9864000000000002,8.1905,11.0465,3.0307,9.6187,4.9823,7.9463,11.0819,3.4621999999999997,10.040299999999998,5.9757,9.2942,8.6945
FATİH CADDESİ,9.196,11.4847,6.817699999999999,1.1741,11.023200000000001,9.9058,2.3208,0.0,10.726700000000001,12.389100000000001,0.9772000000000001,10.9613,6.5911,10.4826,13.8261,5.071,12.9002,7.5845,10.636899999999999,10.0371
HABİRE YAHŞİ ANADOLU LİSESİ,2.299,3.1405,3.248,7.9029,2.6791,2.27,7.5281,9.0295,0.0,3.8755,9.5048,1.7878,3.3303000000000003,1.0014,3.0136,5.5651,2.5461,4.244,2.2927,1.6969
FETİH MAHALLESİ MUHTARLIĞI,3.686,1.3627,5.757,9.741700000000002,1.518,2.9026,9.9125,10.6117,4.7001,0.0,12.083,1.9225999999999999,6.451899999999999,4.4559,2.9806999999999997,9.0179,3.1248,7.3655,2.3747,3.5074
