Durak_Adi,Longitude,Latitude,ILCEID
ATAŞEHİR  BELEDİYESİ,29.1022610480026,40.9978340219462,2049
FATİN RÜŞTÜ ZORLU CADDESİ,29.0876980311293,41.0063020440966,2049
ATAŞEHİR PLAZALAR,29.1231099999919,40.9930850005527,2049
10. SOKAK,29.1724539999925,40.9866420005518,2049
ESATPAŞA MAHALLESİ,29.0869040424354,40.9989140158491,2049
KELKİT SOKAK,29.0954619999914,40.9974820005535,2049
ÜSKÜDAR CADDESİ,29.1656109999925,40.9824190005511,2049
FATİH CADDESİ,29.1816959999927,40.9849240005514,2049
HABİRE YAHŞİ ANADOLU LİSESİ,29.0958449000112,40.9867627991172,2049
FETİH MAHALLESİ MUHTARLIĞI,29.0743999857268,41.0054000053432,2049
49.SOKAK,29.1862330000099,40.9801489991167,2049
ALİ FUAT CEBESOY İLKOKULU,29.0858149999913,40.9938050005528,2049
MESKENLER,29.1179819999918,40.9786210005505,2049
RABİA LEMAN İMAM HATİP ORTAOKULU,29.0983269999915,40.988643000552,2049
GÖZTEPE KÖPRÜSÜ,29.0739209664146,40.9934880163348,2049
AKYAZI CADDESİ,29.1432409999922,40.9841380005514,2049
LİBADİYE CADDESİ,29.0740699951829,40.9947760263627,2049
İÇERENKÖY DÖRTYOL,29.1177739999918,40.9709930005493,2049
HZ.HÜSEYİN CAMİİ,29.0905029999913,40.9999290005538,2049
ADALET SİTESİ,29.1026209999916,40.9909010005524,2049
